precio_mxn,m2,recamaras,banos,medios_banos,estacionamientos,antiguedad_anos,pisos,direccion,latitud,longitud,roof_garden,alberca,url,tipo
2355000,72.0,3,2,2,2.0,,1,"Departamento en Venta, Ampliación Reforma, Provincia de Puebla",19.0591152,-98.2356021,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-ampliacion-reforma-147646450.html?n_src=Listado&n_pills=%C3%81rea+de+lavado&n_pg=1&n_pos=14,departamentos
2650000,92.0,2,2,2,1.0,,1,"Departamento en Venta Torre Santa Fe, Zavaleta",19.065352376139753,-98.24910409101562,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-torre-santa-fe-zavaleta.-149442607.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=15,departamentos
3251710,118.0,3,2,2,2.0,,1,"Bosques Santuario, La Recta, Col. Bello Horizonte, Puebla",19.0545063492,-98.2648432558,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-en-bosques-santuario-la-recta-148682628.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=16,departamentos
1679000,68.0,3,2,1,,,1,"Sonata, Lomas de Angelópolis, Puebla, Provincia de Puebla",18.9905626814,-98.2784154995,0,1,https://www.inmuebles24.com/propiedades/clasificado/veclapin-consultorios-en-venta-en-sonata-lomas-de-angelopolis-149631608.html?n_src=Listado&n_pills=Alberca&n_pg=1&n_pos=17,departamentos
2195000,72.0,3,2,2,2.0,,1,"Departamento en Venta, La Paz, Provincia de Puebla",19.0524206,-98.23352489999999,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-la-paz-148705486.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=18,departamentos
1053000,49.0,2,2,1,1.0,,1,"Resurgimiento Puebla, Provincia de Puebla",19.040118505268293,-98.18074722631455,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-en-resurgimiento-puebla-148059346.html?n_src=Listado&n_pills=%C3%81rea+de+juegos+infantiles&n_pg=1&n_pos=19,departamentos
1195000,80.0,3,3,1,1.0,,1,"Venta de Departamentos 2 y 3 Recamaras a un Costado del Hospital del Norte Desde $1,020,000, Provincia de Puebla",19.0825749,-98.185218,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-venta-de-departamentos-2-y-3-recamaras-a-un-costado-148079957.html?n_src=Listado&n_pills=Terraza&n_pg=1&n_pos=20,departamentos
2245000,86.0,2,2,2,2.0,,1,"Departamento en Venta Puente de México, Zavaleta, Provincia de Puebla",19.071226327854298,-98.24501293071899,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-puente-de-mexico-zavaleta-149442637.html?n_src=Listado&n_pg=1&n_pos=21,departamentos
3606950,169.0,3,3,2,2.0,,1,"Cumbres Residencial, Zona Cementera, Provincia de Puebla",19.0802949,-98.2199308,0,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamentos-en-venta-en-cumbres-residencial-zona-148688845.html?n_src=Listado&n_pills=Seguridad+privada&n_pg=1&n_pos=22,departamentos
2450000,97.0,3,1,1,2.0,6.0,1,"Departamento en Venta Col. La Paz, Provincia de Puebla",19.0546505,-98.2260239,1,0,https://www.inmuebles24.com/propiedades/clasificado/veclapin-departamento-en-venta-col.-la-paz-148927721.html?n_src=Listado&n_pills=Escuelas+cercanas&n_pg=1&n_pos=23,departamentos
